회사명,종목코드,테마,최신정기보고서,잔고보유분기,잔고(억원),보유분기수,사유,단위표기,비고
LG씨엔에스,064400,통신장비·IT,2026Q2,2026Q2,53472.9,7,최신,백만원,
브리지텍,064480,통신장비·IT,2026Q2,2026Q2,131.8,10,최신,천원,
티씨케이,064760,화학·소재,2026Q2,2026Q2,1993.7,11,최신,억원,
포니링크,064800,기타,2026Q2,2026Q2,38.4,11,최신,천원,
케이프,064820,조선·조선기자재,2026Q2,2026Q2,453.8,11,최신,"EA,백만원",
탑엔지니어링,065130,반도체·디스플레이 장비,2026Q2,2026Q2,445.0,11,최신,백만원,
위세아이텍,065370,통신장비·IT,2026Q2,2026Q2,265.4,11,최신,천원,
이루온,065440,통신장비·IT,2026Q2,2026Q2,138.0,11,최신,백만원,
빅텍,065450,반도체·디스플레이 장비,2026Q2,2026Q2,1368.1,11,최신,백만원,
와이어블,065530,통신장비·IT,2026Q2,2026Q2,89.5,10,최신,원,
삼영이엔씨,065570,통신장비·IT,2026Q2,2026Q2,128.5,11,최신,백만원,
서호전기,065710,전력기기·전선,2026Q2,2026Q2,1584.9,11,최신,천원,
CS,065770,통신장비·IT,2026Q2,2025Q3,42.0,5,이상치제외,"원,￥",
웰크론,065950,화학·소재,2026Q2,2026Q2,1654.4,11,최신,천원,
하츠,066130,전자부품·전기전자,2026Q2,2026Q2,1295.4,11,최신,백만원,
테라젠이텍스,066700,제약·바이오·의료,2026Q2,2026Q2,13.7,11,최신,백만원,
디에이피,066900,전자부품·전기전자,2026Q2,2026Q2,161.9,10,최신,백만원,
엘앤에프,066970,2차전지·에너지,2026Q2,2026Q2,233546.5,10,최신,원,
이씨에스,067010,통신장비·IT,2026Q2,2026Q2,348.4,5,최신,백만원,
오텍,067170,자동차부품,2026Q2,2026Q2,634.3,10,최신,백만원,
멀티캠퍼스,067280,기타,2026Q2,2026Q2,267.2,8,최신,백만원,
아스트,067390,방산·항공우주,2026Q2,2026Q2,36793.3,11,최신,USD,
엔브이에이치코리아,067570,자동차부품,2026Q2,2026Q2,3724.8,11,최신,백만원,
HLB생명과학,067630,제약·바이오·의료,2026Q2,2024Q4,93.2,2,수주표없음,천원,
이글루,067920,통신장비·IT,2026Q2,2026Q1,708.5,9,이상치제외,백만원,
케이웨더,068100,기계·플랜트,2026Q2,2026Q2,64.1,11,최신,천원,
다원시스,068240,전력기기·전선,2026Q2,2026Q2,11925.9,11,최신,백만원,
일신바이오,068330,기계·플랜트,2026Q2,2026Q2,127.2,10,최신,백만원,
DMS,068790,반도체·디스플레이 장비,2026Q2,2025Q3,1605.2,7,수주표없음,천원,
누리플랜,069140,기계·플랜트,2026Q2,2026Q2,1511.5,11,최신,백만원,
엔텔스,069410,통신장비·IT,2026Q2,2026Q2,376.6,11,최신,천원,
대호에이엘,069460,철강·금속,2026Q2,2026Q2,281.1,11,최신,"톤,백만원",
에스텍,069510,전자부품·전기전자,2026Q2,2026Q2,1171.4,11,최신,"천개,백만원",
빛과전자,069540,통신장비·IT,2026Q2,2026Q2,35.6,11,최신,백만원,
엑시온그룹,069920,기타,2026Q2,2026Q2,197.2,5,최신,원,
인티큐브,070590,통신장비·IT,2026Q2,2026Q2,320.8,10,최신,백만원,
모나용평,070960,기타,2026Q2,2026Q2,1194.3,11,최신,백만원,
하이스틸,071090,철강·금속,2026Q2,2026Q2,375.9,1,최신,원,
로체시스템즈,071280,반도체·디스플레이 장비,2026Q2,2026Q2,788.7,11,최신,천원,
지역난방공사,071320,기타,2026Q2,2024Q2,40.1,3,수주표없음,백만원,
HD현대마린엔진,071970,기계·플랜트,2026Q2,2026Q2,16705.9,9,최신,백만원,
유엔젤,072130,기타,2026Q2,2026Q2,171.1,11,최신,백만원,
농심홀딩스,072710,지주·기타,2026Q2,2026Q2,2100.3,11,최신,백만원,
멤레이비티,072770,통신장비·IT,2026Q1,2026Q1,92.4,8,최신,천원,
케이에스피,073010,기계·플랜트,2026Q2,2026Q2,1159.3,11,최신,"EA,백만원",
금호타이어,073240,화학·소재,2026Q2,2024Q3,5151.6,4,수주표없음,"천본,천USD",
테라사이언스,073640,철강·금속,2026Q2,2026Q2,10.9,10,최신,"천개,천원",
이엔플러스,074610,기계·플랜트,2026Q2,2025Q4,79.2,9,수주표없음,"대,원",
세진중공업,075580,조선·조선기자재,2026Q2,2026Q2,1943.8,11,최신,백만원,
웰크론한텍,076080,건설·건축,2026Q2,2026Q2,1758.9,11,최신,천원,
지에이이노더스,076340,기타,2025Q4,2025Q4,7145.4,2,최신,천원,
덕산하이메탈,077360,반도체·디스플레이 장비,2026Q2,2026Q2,557.0,11,최신,억원,
유니퀘스트,077500,기계·플랜트,2026Q2,2026Q2,1287.7,2,최신,백만원,
STX엔진,077970,기계·플랜트,2026Q2,2026Q2,19269.0,11,최신,억원,
텔코웨어,078000,기타,2026Q2,2026Q2,401.0,11,최신,천원,
유비쿼스홀딩스,078070,지주·기타,2026Q2,2026Q2,874.9,10,최신,백만원,
HB테크놀러지,078150,반도체·디스플레이 장비,2026Q2,2026Q2,454.0,9,최신,백만원,
휴림에이텍,078590,자동차부품,2026Q2,2026Q2,2953.3,11,최신,"수량-대,금액-백만원",
GS,078930,지주·기타,2026Q2,2026Q2,49.7,11,최신,"천배럴,백만원",
CJ CGV,079160,통신장비·IT,2026Q2,2026Q2,3104.6,10,최신,백만원,
제우스,079370,반도체·디스플레이 장비,2026Q2,2026Q2,3763.3,11,최신,백만원,
APS이노베이션,079810,전력기기·전선,2026Q2,2026Q2,368.8,10,최신,백만원,
인베니아,079950,반도체·디스플레이 장비,2026Q2,2026Q2,311.3,10,최신,백만원,
제주반도체,080220,반도체·디스플레이 장비,2026Q2,2026Q2,4.6,11,최신,"US$1,000",
쎄크,081180,기계·플랜트,2026Q2,2026Q2,520.7,6,최신,백만원,
한화엔진,082740,기계·플랜트,2026Q2,2026Q2,59789.0,10,최신,억원,
비츠로셀,082920,2차전지·에너지,2026Q2,2026Q2,204.7,9,최신,백만원,
엘오티베큠,083310,반도체·디스플레이 장비,2026Q2,2026Q2,556.7,11,최신,백만원,
GST,083450,반도체·디스플레이 장비,2026Q2,2026Q2,968.0,11,최신,억원,
에프엔에스테크,083500,반도체·디스플레이 장비,2026Q2,2026Q2,299.2,11,최신,천원,
비에이치아이,083650,기계·플랜트,2026Q2,2026Q2,24568.9,11,최신,"건,백만원",
CSA 코스믹,083660,화학·소재,2026Q2,2025Q2,22.8,7,수주표없음,"원,m2",
CG인바이츠,083790,제약·바이오·의료,2026Q2,2026Q2,38.1,7,최신,백만원,
아바코,083930,반도체·디스플레이 장비,2026Q2,2026Q2,5949.6,11,최신,백만원,
대한제강,084010,철강·금속,2026Q2,2025Q2,536.9,6,수주표없음,"톤,백만원",
수성웹툰,084180,기계·플랜트,2026Q2,2025Q3,32.4,4,수주표없음,천원,
유진테크,084370,반도체·디스플레이 장비,2026Q2,2026Q2,1533.1,11,최신,천원,
유비온,084440,통신장비·IT,2026Q2,2026Q2,167.6,10,최신,"백만원,EA",
대상홀딩스,084690,지주·기타,2026Q2,2026Q2,9406.7,11,최신,백만원,
팅크웨어,084730,통신장비·IT,2026Q2,2026Q2,145.8,5,최신,원,
엔케이,085310,기계·플랜트,2026Q2,2026Q2,952.9,11,최신,천원,
바이오톡스텍,086040,제약·바이오·의료,2026Q2,2026Q2,606.5,10,최신,백만원,
유니테스트,086390,반도체·디스플레이 장비,2026Q2,2026Q2,1209.7,6,최신,백만원,
에코프로,086520,지주·기타,2026Q2,2026Q2,830.3,11,최신,백만원,
이수앱지스,086890,제약·바이오·의료,2026Q2,2026Q2,118.5,11,최신,백만원,
MDS테크,086960,통신장비·IT,2026Q2,2026Q2,74.3,11,최신,백만원,
모바일어플라이언스,087260,통신장비·IT,2026Q2,,,0,값0/파싱실패,,
동아엘텍,088130,반도체·디스플레이 장비,2026Q2,2026Q2,6573.1,11,최신,백만원,
유라클,088340,통신장비·IT,2026Q2,2026Q2,173.1,8,최신,백만원,
이녹스,088390,기계·플랜트,2026Q2,2026Q2,12.9,11,최신,"대,백만원",
테크윙,089030,반도체·디스플레이 장비,2026Q2,2026Q2,602.7,11,최신,백만원,
케이씨티,089150,통신장비·IT,2026Q2,2026Q2,75.3,9,최신,백만원,
제주항공,089590,기계·플랜트,2026Q2,,,0,수주표없음,,
제이티,089790,반도체·디스플레이 장비,2026Q2,2026Q2,383.8,11,최신,백만원,
코세스,089890,반도체·디스플레이 장비,2026Q2,2026Q2,11.1,10,최신,USD,
노루페인트,090350,화학·소재,2026Q2,2026Q2,386.4,8,최신,"백만원,Ton",
덕신이피씨,090410,기계·플랜트,2026Q2,2026Q2,1305.6,10,최신,원,
제이스로보틱스,090470,반도체·디스플레이 장비,2026Q2,2026Q2,1268.7,11,최신,백만원,
한울소재과학,091440,통신장비·IT,2026Q2,2026Q2,8.2,11,최신,천원,
남화토건,091590,건설·건축,2026Q2,2026Q2,829.5,11,최신,백만원,
디아이씨,092200,자동차부품,2026Q2,,,0,값0/파싱실패,,
현우산업,092300,전자부품·전기전자,2026Q2,2026Q2,372.8,11,최신,"백만원,천㎡",
한라IMS,092460,조선·조선기자재,2026Q2,2026Q2,2704.4,9,최신,백만원,
엑시콘,092870,반도체·디스플레이 장비,2026Q2,2026Q2,846.0,8,최신,백만원,
형지엘리트,093240,기타,2026Q1,2026Q1,119.1,10,최신,"개,백만원",
후성,093370,화학·소재,2026Q2,2025Q2,54.9,7,수주표없음,USD,
일진파워,094820,건설·건축,2026Q2,2026Q2,286.9,10,최신,백만원,
푸른로보틱스,094940,기타,2026Q2,2026Q2,91.1,9,최신,천원,
미래나노텍,095500,화학·소재,2026Q2,2024Q1,118.0,2,수주표없음,천원,
테스,095610,반도체·디스플레이 장비,2026Q2,2026Q2,2069.4,11,최신,백만원,
에스에너지,095910,전력기기·전선,2026Q2,2026Q2,154.3,10,최신,"EA,천원",
대창솔루션,096350,기계·플랜트,2026Q2,2026Q2,696.0,11,최신,백만원,
에이루트,096690,기타,2026Q2,2026Q2,40.0,11,최신,"대,백만원",
SK이노베이션,096770,기타,2026Q2,,,0,값0/파싱실패,,
HJ중공업,097230,건설·건축,2026Q2,2026Q2,83307.5,8,최신,백만원,
한텍,098070,기계·플랜트,2026Q2,,,0,단위불명,,
SDN,099220,기계·플랜트,2026Q2,2026Q2,269.9,11,최신,백만원,
쎄트렉아이,099320,방산·항공우주,2026Q2,2026Q2,5574.0,11,최신,억원,
스맥,099440,반도체·디스플레이 장비,2026Q1,2026Q1,708.9,9,최신,대/백만원,
DGI,099520,전자부품·전기전자,2026Q2,2026Q2,694.3,7,최신,백만원,
이지케어텍,099750,통신장비·IT,2026Q2,2026Q2,557.2,11,최신,백만원,
SK오션플랜트,100090,철강·금속,2026Q2,2026Q2,1073.3,11,최신,USD,
동국S&C,100130,기계·플랜트,2026Q2,2026Q2,957.4,10,최신,백만원,
SNT에너지,100840,기계·플랜트,2026Q2,2026Q2,5180.1,11,최신,천원,
KS인더스트리,101000,반도체·디스플레이 장비,2026Q2,2026Q2,589.7,11,최신,백만원,
하이드로리튬,101670,기계·플랜트,2026Q2,2025Q4,10.6,9,수주표없음,천원,
한국정밀기계,101680,반도체·디스플레이 장비,2026Q2,2026Q2,988.0,11,최신,억원,
인화정공,101930,조선·조선기자재,2026Q2,2026Q2,786.6,11,최신,백만원,
우양에이치씨,101970,기계·플랜트,2026Q2,2026Q2,1083.3,11,최신,백만원,
동성케미컬,102260,화학·소재,2026Q2,2026Q2,20410.8,11,최신,백만원,
풍산,103140,철강·금속,2026Q2,2026Q2,8945.2,9,최신,"M/T,백만원",
에스앤더블류,103230,기계·플랜트,2026Q2,2026Q2,522.4,10,최신,개/천원,
일진전기,103590,전력기기·전선,2026Q2,2026Q2,27315.0,11,최신,천USD,
씨앗,103660,기타,2025Q4,2025Q4,186.9,2,최신,천원,
디와이피엔에프,104460,기계·플랜트,2026Q2,2026Q2,1635.1,10,최신,천원,
티케이케미칼,104480,기타,2026Q2,2026Q2,1341.6,10,최신,백만원,
한국철강,104700,철강·금속,2026Q2,2024Q1,316.4,2,수주표없음,"톤,백만원",
엣지파운드리,105550,전자부품·전기전자,2026Q2,2026Q2,461.0,7,최신,원,
우진,105840,반도체·디스플레이 장비,2026Q2,2026Q2,861.6,11,최신,천원,
하이텍팜,106190,제약·바이오·의료,2026Q2,2026Q2,485.4,11,최신,백만원,
한중엔시에스,107640,전력기기·전선,2026Q2,2025Q3,589.6,6,수주표없음,백만원,
톱텍,108230,반도체·디스플레이 장비,2026Q2,2026Q2,1582.5,11,최신,,
대양전기공업,108380,조선·조선기자재,2026Q2,2026Q2,3276.1,10,최신,백만원,
셀바스AI,108860,통신장비·IT,2026Q2,2026Q2,34.5,10,최신,백만원,
주성코퍼레이션,109070,통신장비·IT,2026Q2,2026Q1,0.5,9,값0/파싱실패,천원,
디에스케이,109740,반도체·디스플레이 장비,2026Q2,2026Q2,35.2,11,최신,천원,
앱토크롬,109960,기타,2026Q2,2026Q1,2.9,9,값0/파싱실패,백만원,
디아이티,110990,반도체·디스플레이 장비,2026Q2,2026Q2,676.5,11,최신,백만원,
동인기연,111380,기타,2026Q2,2024Q4,610.3,2,수주표없음,천원,
KC산업,112190,기타,2025Q4,2025Q4,993.6,3,최신,백만원,
씨에스윈드,112610,기계·플랜트,2026Q2,2026Q2,15692.4,11,최신,백만USD,
강원에너지,114190,전력기기·전선,2026Q2,,,0,단위불명,,
폴라리스우노,114630,기타,2026Q2,,,0,값0/파싱실패,,
대주이엔티,114920,기타,2025Q4,2025Q4,57.0,3,최신,백만원,
HLB테라퓨틱스,115450,기타,2026Q2,2026Q2,13.4,7,최신,백만원,
케이씨에스,115500,통신장비·IT,2026Q2,2026Q2,89.5,11,최신,천원,
씨엔플러스,115530,전자부품·전기전자,2026Q2,2026Q2,173.8,11,최신,천원,
포메탈,119500,철강·금속,2026Q2,2026Q2,12.0,11,최신,EA/백만원,
KC코트렐,119650,기계·플랜트,2026Q2,,,0,단위불명,,
유니포인트,121060,기타,2025Q4,,,0,수주표없음,,
에스디시스템,121890,전자부품·전기전자,2026Q2,2026Q2,17.0,11,최신,천원,
알엔티엑스,123010,전자부품·전기전자,2026Q2,2025Q2,1.1,1,수주표없음,천원,
알톤,123750,기계·플랜트,2026Q2,2026Q2,12.9,11,최신,"대,백만원",
뉴온,123840,기타,2026Q2,2024Q4,20.7,4,수주표없음,,
아이티센글로벌,124500,통신장비·IT,2026Q2,2026Q2,136.1,11,최신,백만원,
태웅로직스,124560,기타,2026Q2,2026Q2,162.8,11,최신,USD,
현대퓨처넷,126560,통신장비·IT,2026Q2,2024Q3,1.3,3,수주표없음,백만원/VAT포함,
하이비젼시스템,126700,반도체·디스플레이 장비,2026Q2,2026Q2,2883.9,11,최신,백만원,
수산인더스트리,126720,건설·건축,2026Q2,2026Q2,3071.5,11,최신,백만원,
제이엔케이글로벌,126880,기계·플랜트,2026Q2,2026Q2,3959.4,11,최신,백만원,
제이에스링크,127120,제약·바이오·의료,2026Q2,2026Q2,57.5,9,최신,원,
피제이메탈,128660,철강·금속,2026Q2,2024Q1,247.2,1,수주표없음,"톤,백만원",
인터지스,129260,기타,2026Q2,,,0,수주표없음,,
대성하이텍,129920,반도체·디스플레이 장비,2026Q2,2026Q2,764.9,11,최신,천원,
티에스이,131290,반도체·디스플레이 장비,2026Q2,2026Q2,1319.1,11,최신,"개,백만원",
파인텍,131760,반도체·디스플레이 장비,2026Q2,2026Q2,283.7,11,최신,천원,
원일티엔아이,136150,기계·플랜트,2026Q2,2026Q2,511.1,5,최신,천원,
넥스트아이,137940,반도체·디스플레이 장비,2026Q2,2025Q4,2.4,8,수주표없음,,
오이솔루션,138080,통신장비·IT,2026Q2,2026Q2,421.4,10,최신,백만원,
앤로보틱스,138360,반도체·디스플레이 장비,2026Q2,2026Q2,55.2,11,최신,백만원,
이마트,139480,기타,2026Q2,2026Q2,18875.0,11,최신,백만원,
아주스틸,139990,철강·금속,2026Q2,2024Q3,149.9,4,수주표없음,원,
카티스,140430,통신장비·IT,2026Q2,2026Q2,173.1,10,최신,천원,
알에스오토메이션,140670,전자부품·전기전자,2026Q2,2026Q2,202.1,11,최신,"대,백만원",
파크시스템스,140860,반도체·디스플레이 장비,2026Q2,2026Q1,871.3,10,단위불명,"USD,천원",
비아트론,141000,반도체·디스플레이 장비,2026Q2,2026Q2,283.4,11,최신,천원,
녹십자엠에스,142280,제약·바이오·의료,2026Q2,2026Q2,79.4,11,최신,백만원,
영우디에스피,143540,반도체·디스플레이 장비,2026Q2,2026Q2,419.6,11,최신,백만원,
다이나믹디자인,145210,반도체·디스플레이 장비,2026Q2,2026Q2,165.0,11,최신,"조,백만원",
덴티움,145720,제약·바이오·의료,2026Q2,2024Q3,150.0,4,수주표없음,천원,
제룡산업,147830,기계·플랜트,2026Q2,2026Q2,53.5,11,최신,천원,
에이치와이티씨,148930,철강·금속,2026Q2,2026Q2,59.1,7,최신,"EA,백만원",
아이케이세미콘,149010,기타,2025Q4,,,0,수주표없음,,
KG에코솔루션,151860,기타,2026Q2,2026Q2,89.8,10,최신,"톤,백만원",
와이엠씨,155650,전자부품·전기전자,2026Q2,2024Q3,120.0,4,수주표없음,백만원,
에코글로우,159910,화학·소재,2026Q2,,,0,수주표없음,,
필옵틱스,161580,반도체·디스플레이 장비,2026Q2,2026Q2,1258.2,11,최신,백만원,
루켄테크놀러지스,162120,기타,2025Q4,2025Q4,76.5,1,최신,"EA,백만원",
에어레인,163280,기계·플랜트,2026Q2,2026Q2,46.7,7,최신,백만원,
핑거,163730,통신장비·IT,2026Q2,2026Q2,399.9,11,최신,백만원,
코아스템켐온,166480,제약·바이오·의료,2026Q2,2026Q2,126.9,11,최신,백만원,
엠브레인,169330,기타,2026Q1,2026Q1,164.0,10,최신,백만원,
코스텍시스템,169670,기타,2025Q4,2025Q4,131.9,3,최신,백만원/대,
엘티씨,170920,화학·소재,2026Q2,2026Q2,48.4,7,최신,천원,
선익시스템,171090,반도체·디스플레이 장비,2026Q2,2026Q2,6420.1,11,최신,백만원,
오파스넷,173130,통신장비·IT,2026Q2,2026Q2,1482.8,11,최신,백만원,
아고스,175140,통신장비·IT,2026Q2,2026Q1,32.4,10,값0/파싱실패,백만원,
코나솔,176590,기타,2025Q4,,,0,수주표없음,,
베셀,177350,화학·소재,2026Q2,2025Q1,4.2,6,수주표없음,천원,
쓰리에이로직스,177900,반도체·디스플레이 장비,2026Q2,2026Q2,81.8,1,최신,백만원,
엠아이텍,179290,제약·바이오·의료,2026Q2,2026Q2,55.2,11,최신,"개,천원",
큐브엔터,182360,통신장비·IT,2026Q2,2026Q2,853.7,11,최신,천원,
엔케이젠바이오텍코리아,182400,제약·바이오·의료,2026Q2,2026Q2,15063.4,11,최신,원,
수프로,185190,기타,2026Q1,2026Q1,49.0,3,최신,원,
그린플러스,186230,철강·금속,2026Q2,2026Q2,425.6,11,최신,천원,
페니트리움바이오,187660,제약·바이오·의료,2026Q2,2026Q2,186.0,10,최신,천원,
나노,187790,화학·소재,2026Q2,2026Q2,623.7,11,최신,"m3,천원",
인텔리안테크,189300,통신장비·IT,2026Q2,2026Q2,304.3,8,최신,백만원,
씨이랩,189330,통신장비·IT,2026Q2,2026Q2,31.7,10,최신,천원,
코셋,189350,기타,2025Q4,2025Q4,18.1,3,최신,개/백만원,
서전기전,189860,전력기기·전선,2026Q2,2026Q2,590.7,11,최신,백만원,
육일씨엔에쓰,191410,전자부품·전기전자,2026Q2,2026Q2,11.2,8,최신,천원,
테고사이언스,191420,제약·바이오·의료,2026Q2,2024Q4,0.6,5,수주표없음,,
블루탑,191600,기타,2025Q4,2025Q4,53.2,3,최신,백만원,
윈하이텍,192390,기계·플랜트,2026Q2,2026Q2,651.6,11,최신,백만원,
루트K,195990,반도체·디스플레이 장비,2026Q2,2024Q2,104.2,2,수주표없음,천원,
알테오젠,196170,제약·바이오·의료,2026Q2,2024Q1,53.8,2,수주표없음,백만원,
HLB펩,196300,제약·바이오·의료,2026Q2,2026Q2,5.7,4,최신,백만원,
웹스,196700,화학·소재,2026Q2,2026Q2,2.4,10,최신,"경간,m,원",
디지캡,197140,통신장비·IT,2026Q2,2024Q3,32.8,4,수주표없음,천원,
데이터스트림즈,199150,기타,2025Q4,2025Q4,52.0,3,최신,백만원,
바이오프로테크,199290,기타,2025Q4,2025Q4,64.7,3,최신,"천EA,백만원",
뱅크웨어글로벌,199480,통신장비·IT,2026Q2,2026Q2,454.2,6,최신,원,
바이오인프라,199730,제약·바이오·의료,2026Q2,2026Q2,219.9,11,최신,천원,
제일일렉트릭,199820,전력기기·전선,2026Q2,2026Q2,910.0,10,최신,백만원,
텔콘RF제약,200230,제약·바이오·의료,2026Q2,2026Q2,408.3,11,최신,원,
아티스트스튜디오,200350,통신장비·IT,2026Q2,2025Q3,36.0,8,값0/파싱실패,천원,
메디쎄이,200580,기타,2025Q4,2025Q4,20.0,3,최신,"개,$",
에이비온,203400,제약·바이오·의료,2026Q2,2026Q2,5.2,11,최신,천원,
HL만도,204320,자동차부품,2026Q2,2026Q2,9432.3,11,최신,백만원,
지엘팜텍,204840,기타,2026Q2,2026Q2,10.0,11,최신,백만원,
엑셈,205100,통신장비·IT,2026Q2,2026Q2,49.7,10,최신,백만원,
베노티앤알,206400,건설·건축,2026Q2,2026Q2,24.0,11,최신,천원,
덱스터,206560,통신장비·IT,2026Q2,2026Q2,46.9,9,최신,천원,
유바이오로직스,206650,제약·바이오·의료,2026Q2,2026Q2,1029.9,11,최신,"만도즈,천달러",
에이펙스인텍,207490,기타,2025Q4,2025Q4,312.6,3,최신,"EA,백만원",
삼성바이오로직스,207940,제약·바이오·의료,2026Q2,2026Q2,316227.8,11,최신,백만달러,
이비테크,208850,기타,2025Q4,2025Q4,33.5,3,최신,백만원,
와이제이링크,209640,반도체·디스플레이 장비,2026Q2,2026Q2,41.4,2,최신,백만원,
SK디앤디,210980,건설·건축,2026Q2,2026Q2,1890.1,11,최신,백만원,
AP위성,211270,통신장비·IT,2026Q2,2026Q2,249.3,10,최신,천원,
네오오토,212560,자동차부품,2026Q2,2026Q2,9548.9,11,최신,"천만EA,백만원",
아이에스티이,212710,반도체·디스플레이 장비,2026Q2,2026Q2,414.0,7,최신,천원,
덕산네오룩스,213420,전자부품·전기전자,2026Q2,2026Q2,3915.9,10,최신,백만원,
한솔제지,213500,화학·소재,2026Q2,2026Q2,2471.7,11,최신,백만원,
아이쓰리시스템,214430,전자부품·전기전자,2026Q2,2026Q2,963.5,11,최신,백만원,
솔디펜스,215090,반도체·디스플레이 장비,2026Q2,2026Q2,372.9,10,최신,천원,
콜마바이오텍,215380,제약·바이오·의료,2026Q2,2026Q2,104.1,11,최신,백만원,
크로넥스,215570,기타,2024Q4,2024Q4,4.2,2,최신,원,
인바이츠바이오코아,216400,기타,2025Q4,2025Q4,89.9,3,최신,천원,
제너셈,217190,반도체·디스플레이 장비,2026Q2,2026Q2,749.2,11,최신,백만원,
썬테크,217320,기타,2024Q4,2024Q4,104.8,1,최신,백만원,
러셀,217500,반도체·디스플레이 장비,2026Q2,2026Q2,211.3,10,최신,백만원,
티엠씨,217590,전력기기·전선,2026Q2,2026Q2,1696.7,3,최신,백만원,
강스템바이오텍,217730,제약·바이오·의료,2026Q2,2024Q1,108.2,2,수주표없음,백만원,
틸론,217880,기타,2025Q4,2024Q1,14.8,2,수주표없음,백만원,
RFHIC,218410,통신장비·IT,2026Q2,2024Q3,594.2,4,수주표없음,천원,
링크제니시스,219420,통신장비·IT,2026Q2,2025Q3,4.5,5,이상치제외,백만원,
퓨쳐켐,220100,제약·바이오·의료,2026Q2,2024Q2,0.0,2,값0/파싱실패,천원,
폴라리스AI핸디,220180,통신장비·IT,2026Q2,2026Q2,244.7,11,최신,"건,천원",
하이즈항공,221840,방산·항공우주,2026Q2,2026Q2,11834.6,11,최신,백만원,
SFA넥셀,222080,반도체·디스플레이 장비,2026Q2,2026Q2,2750.7,11,최신,원,
팬젠,222110,제약·바이오·의료,2026Q2,2026Q2,77.0,11,최신,"천원,$",
NPX,222160,기타,2026Q1,2026Q1,53.0,3,최신,대/억원,
쎄노텍,222420,화학·소재,2026Q2,2026Q2,118.5,11,최신,"톤,USD",
심텍,222800,전자부품·전기전자,2026Q2,2026Q2,5526.9,11,최신,"㎡,천USD",
드림씨아이에스,223250,제약·바이오·의료,2026Q2,2026Q2,2514.9,11,최신,천원,
더코디,224060,전자부품·전기전자,2026Q2,2026Q2,42.1,8,최신,백만원,
엔에스컴퍼니,224760,기타,2025Q4,,,0,수주표없음,,
엄지하우스,224810,기타,2025Q4,2025Q4,397.3,3,최신,천원,
제놀루션,225220,제약·바이오·의료,2026Q2,,,0,수주표없음,,
신테카바이오,226330,통신장비·IT,2026Q2,2026Q2,8.0,11,최신,백만원,
본느,226340,화학·소재,2026Q1,,,0,단위불명,,
LS에코에너지,229640,지주·기타,2026Q2,2026Q2,2455.5,11,최신,백만원,
에치에프알,230240,통신장비·IT,2026Q2,2026Q2,304.6,11,최신,백만원,
와이씨,232140,반도체·디스플레이 장비,2026Q2,2026Q2,2142.1,6,최신,백만원,
라온로보틱스,232680,반도체·디스플레이 장비,2026Q2,2026Q2,523.5,10,최신,백만원,
아이티센피엔에스,232830,통신장비·IT,2026Q2,2026Q2,50.1,9,최신,천원,
폴라리스세원,234100,자동차부품,2026Q2,2025Q2,63.0,5,수주표없음,천원,
에스트래픽,234300,통신장비·IT,2026Q2,2026Q2,1287.0,11,최신,천원,
자이글,234920,전자부품·전기전자,2026Q2,2025Q2,16.8,3,수주표없음,"EA,백만원",
에스티팜,237690,제약·바이오·의료,2026Q2,,,0,단위불명,,
피앤씨테크,237750,전력기기·전선,2026Q2,2026Q2,22.0,6,최신,백만원,
힘스,238490,반도체·디스플레이 장비,2026Q2,2026Q2,367.6,8,최신,"EA,백만원",
유진테크놀로지,240600,철강·금속,2026Q1,2026Q1,48.3,10,최신,백만원,
원익IPS,240810,반도체·디스플레이 장비,2026Q2,2026Q2,6345.9,11,최신,백만원,
