회사명,종목코드,테마,최신정기보고서,잔고보유분기,잔고(억원),보유분기수,사유,단위표기,비고
인스웨이브,450520,통신장비·IT,2026Q2,2026Q2,441.1,10,최신,백만원,
아이엠티,451220,반도체·디스플레이 장비,2026Q2,2026Q2,18.0,7,최신,"대,USD",
컨텍,451760,통신장비·IT,2026Q2,2026Q2,327.8,11,최신,천원,
제이엔비,452160,반도체·디스플레이 장비,2026Q2,2024Q1,25.0,2,수주표없음,USD,
한빛레이저,452190,반도체·디스플레이 장비,2026Q2,2026Q2,115.7,11,최신,천원,
민테크,452200,반도체·디스플레이 장비,2026Q2,2026Q2,23.4,9,최신,백만원,
피아이이,452450,반도체·디스플레이 장비,2026Q2,2026Q2,302.5,7,최신,천원,
두산로보틱스,454910,반도체·디스플레이 장비,2026Q2,2026Q1,190.8,3,수주표없음,USD천,
케이지에이,455180,반도체·디스플레이 장비,2026Q2,2026Q2,199.2,2,최신,천원,
아이씨티케이,456010,반도체·디스플레이 장비,2026Q2,2026Q2,114.1,11,최신,천원,
이엔셀,456070,제약·바이오·의료,2026Q2,2026Q2,91.8,8,최신,백만원,
우진엔텍,457550,기타,2026Q2,2026Q2,210.9,11,최신,백만원,
나우로보틱스,459510,반도체·디스플레이 장비,2026Q1,2025Q4,7.2,1,수주표없음,천원,
아이빔테크놀로지,460470,반도체·디스플레이 장비,2026Q2,2026Q2,3.0,9,최신,천원,
동국제강,460860,철강·금속,2026Q2,2026Q2,6111.1,11,최신,"톤,백만원",
현대힘스,460930,조선·조선기자재,2026Q2,2026Q2,498.6,11,최신,백만원,
이노스페이스,462350,방산·항공우주,2026Q2,2026Q2,59.2,3,최신,백만원,
라메디텍,462510,제약·바이오·의료,2026Q2,2025Q1,1.0,4,수주표없음,천원,
조선내화,462520,기타,2026Q2,2023Q4,490.0,1,수주표없음,천원,
에스오에스랩,464080,반도체·디스플레이 장비,2026Q2,2026Q2,18.1,9,최신,백만원,
닷밀,464580,통신장비·IT,2026Q2,2026Q2,26.8,6,최신,백만원,
인스피언,465480,통신장비·IT,2026Q2,2026Q2,86.3,7,최신,"건,천원",
이노테크,469610,반도체·디스플레이 장비,2026Q2,2026Q2,32.4,2,최신,백만원,
아이비젼웍스,469750,반도체·디스플레이 장비,2026Q2,2026Q2,95.1,8,최신,백만원,
루미르,474170,방산·항공우주,2026Q2,2026Q2,44.5,7,최신,천원,
SK이터닉스,475150,건설·건축,2026Q2,2026Q2,2295.2,10,최신,백만원,
엔알비,475230,철강·금속,2026Q2,2026Q2,1410.0,4,최신,"백만원,%",
씨메스로보틱스,475400,반도체·디스플레이 장비,2026Q2,2026Q2,225.5,7,최신,천원,
키스트론,475430,전력기기·전선,2026Q2,2025Q3,133.8,2,수주표없음,"톤,백만원",
에이럭스,475580,기타,2026Q2,2026Q2,22.1,7,최신,"건,천원",
토모큐브,475960,반도체·디스플레이 장비,2026Q2,2026Q2,20.1,5,최신,백만원,
