티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금
001820,삼화콘덴서공업,유가,전자부품 제조업,콘덴서(축전기) 제조,151400,630985,94177621250,2.37,2778149900,1.64,-79486.0,-11882842750.0,77144.0,11511991200.0,15154.0,2275160850.0,1734.0,257877300.0,241.0,36580100.0,20191.0,3030062700.0,0.0,0.0,-5245.0,-789850950.0,-1766.0,-259359900.0,-1085.0,-161291400.0,-11727.0,-1743017900.0
001290,상상인증권,유가,금융 지원 서비스업,유가증권 매매,945,157071,149619986,-2.17,2046386,1.37,28193.0,26764429.0,-27195.0,-25814357.0,-107.0,-102207.0,-107.0,-102207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-891.0,-847865.0
041650,상신브레이크,유가,자동차 신품 부품 제조업,"자동차 브레이크 슈 어셈블리,브레이크패드 제조/군납업,무역/부동산 임대",2335,10961,25737185,-0.64,661980,2.57,564.0,1311510.0,544.0,1273875.0,-1205.0,-2812850.0,-205.0,-468150.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000.0,-2344700.0,0.0,0.0,0.0,0.0,97.0,227465.0
075180,새론오토모티브,유가,자동차 신품 부품 제조업,"자동차부품(브레이크패드,라이닝)",2895,6108,17502265,1.22,104220,0.6,-1663.0,-4782095.0,-146.0,-417780.0,-2286.0,-6553880.0,-2286.0,-6553880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4092.0,11745100.0,3.0,8655.0
007540,샘표,유가,기타 금융업,"간장,된장,고추장 제조,가공,판매,무역",43000,2258,97001025,-0.23,687650,0.71,546.0,23442100.0,-607.0,-26125300.0,60.0,2640300.0,60.0,2640300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42900.0,0.0,0.0
248170,샘표식품,유가,기타 식품 제조업,간장,23000,6893,159217850,-1.29,1866000,1.17,-748.0,-17412050.0,2148.0,49720400.0,-1403.0,-32377600.0,-53.0,-1220100.0,0.0,0.0,0.0,0.0,0.0,0.0,-1350.0,-31157500.0,0.0,0.0,2.0,46200.0,1.0,23050.0
007860,서연,유가,기타 금융업,"자동차부품(승용차내장품-도어트림,헤드라이닝,승용차시트) 제조,도매",9050,56870,514481380,-0.55,58482340,11.37,-1862.0,-16654730.0,6532.0,58930180.0,-4414.0,-39946980.0,-4393.0,-39756930.0,0.0,0.0,-21.0,-190050.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,225620.0,-281.0,-2554090.0
200880,서연이화,유가,자동차 신품 부품 제조업,자동차 도어 트림 및 시트,12930,102491,1335539635,-4.15,69872140,2.87,13934.0,180940195.0,-15212.0,-197398645.0,-794.0,-10316740.0,268.0,3464210.0,0.0,0.0,-43.0,-555990.0,0.0,0.0,-1000.0,-12979290.0,-19.0,-245670.0,2027.0,26190090.0,45.0,585100.0
017390,서울도시가스,유가,연료용 가스 제조 및 배관공급업,"도시가스공급,가스공급설비공사",57100,2531,145678550,-0.52,34435800,19.96,-165.0,-9601150.0,422.0,24300250.0,-195.0,-11134100.0,-190.0,-10848600.0,0.0,0.0,-5.0,-285500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.0,-3565000.0
031210,서울보증보험,유가,보험업,"보증보험, 신용보험 등",44750,40557,1835313750,-0.67,133144800,6.33,1879.0,82733000.0,-10237.0,-464246600.0,9459.0,431264800.0,-1116.0,-49935050.0,-2.0,-90500.0,7972.0,362947200.0,0.0,0.0,614.0,27957350.0,1991.0,90385800.0,-855.0,-38569700.0,-246.0,-11181500.0
004410,서울식품공업,유가,기타 식품 제조업,"빵,스넥,마아가린,유지류,사료 제조,도매",1084,373269,405318236,2.26,516793,0.13,-79682.0,-85389773.0,85156.0,91298704.0,-57.0,-63389.0,-57.0,-63389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7644.0,-8262577.0,2227.0,2417035.0
004415,서울식품우,KOSPI,기타/미분류,기타/미분류,7710,654,4969340,-0.64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
021050,서원,유가,금속 주조업,"비철금속(황동 빌레트,인코트) 제조,재생원료생산",1216,180062,217870258,-0.33,5141367,2.36,24993.0,30250208.0,-25959.0,-31425200.0,-86.0,-112408.0,-86.0,-112408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.0,1287400.0
