티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,시장,업종,주요제품
003230,삼양식품,유가,기타 식품 제조업,"라면,스낵,유제품,장유,식용유,사료,향신료,건강음료(루이보스 티) 제조,도매",1180000.0,113778.0,135475012000.0,-2.96,9505124000.0,5.77,49035.0,58248997000.0,-56465.0,-67201846500.0,6724.0,8114240500.0,-1015.0,-1211416500.0,-684.0,-807803000.0,-1862.0,-2194445000.0,-46.0,-54466000.0,-5674.0,-6721361500.0,16000.0,19097574500.0,667.0,793474000.0,39.0,45135000.0,0.0,0.0,0.0
002170,SYTS,유가,"가죽, 가방 및 유사제품 제조업","피혁원단,혁제운동화,혁제장갑,혁제스포츠용품 제조,상품중개,무역",57100.0,3465.0,196961600.0,-1.72,8601700.0,4.37,-345.0,-19345700.0,463.0,26087600.0,-118.0,-6741900.0,28.0,1586000.0,0.0,0.0,-23.0,-1312400.0,-99.0,-5645100.0,0.0,0.0,-24.0,-1370400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272550,삼양패키징,유가,플라스틱제품 제조업,PET 용기 및 아셉틱 OEM,12350.0,48905.0,605094410.0,-1.98,5100260.0,0.84,18621.0,230271095.0,860.0,10372115.0,-19619.0,-242353390.0,265.0,3338790.0,-43.0,-528950.0,-13129.0,-162238245.0,0.0,0.0,0.0,0.0,-5061.0,-62545055.0,17.0,207550.0,121.0,1502630.0,0.0,0.0,0.0
000070,삼양홀딩스,유가,기타 금융업,"지주회사,경영자문컨설팅",60800.0,29490.0,1787364800.0,-0.33,45766800.0,1.89,-1563.0,-101896800.0,-493.0,-25920800.0,2010.0,125012000.0,797.0,48165900.0,-7.0,-423600.0,2853.0,175493100.0,0.0,0.0,0.0,0.0,-60.0,-3643800.0,46.0,2805600.0,0.0,0.0,0.0,0.0,0.0
003720,삼영,유가,플라스틱제품 제조업,"합성수지(BOPP,캐파시타),PPC,랩,종이상자(카톤팩) 제조",6090.0,1694161.0,10275998640.0,0.16,550749555.0,5.36,291257.0,1764586010.0,-429442.0,-2613078885.0,139989.0,859684865.0,421.0,2598090.0,0.0,0.0,6791.0,41678985.0,0.0,0.0,0.0,0.0,132777.0,815407790.0,-3389.0,-20728710.0,1585.0,9536720.0,0.0,0.0,0.0
002810,삼영무역,유가,기타 전문 도매업,"화공약품, 안경렌즈",17320.0,45539.0,784251315.0,0.29,1402920.0,0.16,-5695.0,-97120655.0,10714.0,183757675.0,-2826.0,-49043510.0,-1249.0,-21654760.0,0.0,0.0,201.0,3464990.0,0.0,0.0,-1000.0,-17268630.0,-778.0,-13585110.0,-2093.0,-35860510.0,-100.0,-1733000.0,0.0,0.0,0.0
005680,삼영전자공업,유가,전자부품 제조업,"전자부품(알루미늄 전해콘덴서),전기이중층콘덴서,센서 제조,도매",11360.0,82100.0,917763250.0,3.27,999680.0,0.11,-2250.0,-26115750.0,3359.0,38068580.0,-321.0,-3266220.0,489.0,5648360.0,0.0,0.0,458.0,4958830.0,-1235.0,-13512720.0,0.0,0.0,-33.0,-360690.0,-520.0,-5764120.0,-268.0,-2922490.0,0.0,0.0,0.0
023000,삼원강재,유가,자동차 신품 부품 제조업,"열간압연제품(평강,봉강,특수이형강,환강,자동차용 겹판스프링) 제조,판매",2360.0,28853.0,67874780.0,-0.63,438960.0,0.65,1992.0,4701097.0,35.0,81000.0,-2027.0,-4778092.0,-1815.0,-4279375.0,-43.0,-101026.0,-69.0,-163015.0,0.0,0.0,0.0,0.0,-100.0,-234676.0,0.0,-4005.0,0.0,0.0,0.0,0.0,0.0
004380,삼익THK,유가,일반 목적용 기계 제조업,"직선운동시스템,메카트로시스템,기타정밀 자동화기기 제조,판매/전자상거래,인터넷 관련 s/w,h/w 개발,판매,유지보수",9960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002450,삼익악기,유가,악기 제조업,"피아노,기타,현악기,전자악기,동 부분품 제조,임대,도매",1168.0,202890.0,233086758.0,1.13,5723601.0,2.46,21587.0,24495657.0,-21211.0,-24124227.0,-513.0,-527721.0,-263.0,-237522.0,-90.0,-103879.0,-160.0,-186320.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,168868.0,-11.0,-12577.0,0.0,0.0,0.0
