Sector,거래량,거래대금,공매도거래대금,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,종목수
"건축기술, 엔지니어링 및 관련 기술 서비스업",5252341,99364436604,5647543165,49866.0,16989315500.0,2149.0,-11103995521.0,-89022.0,-6563156135.0,-20928.0,-848809130.0,-4688.0,-724235160.0,-2763.0,-210935600.0,2000.0,56265800.0,-42023.0,-3859607950.0,-20536.0,-959572435.0,-7288.0,627326927.0,44295.0,50509229.0,15
"건축자재, 철물 및 난방장치 도매업",310434,497386855,13120519,-50472.0,-80258016.0,50048.0,79578768.0,424.0,679248.0,165.0,264330.0,0.0,0.0,45.0,72090.0,0.0,0.0,0.0,0.0,214.0,342828.0,0.0,0.0,0.0,0.0,1
"경비, 경호 및 탐정업",22248,1734531150,375688400,1601.0,125168450.0,-8648.0,-676064450.0,7305.0,571169500.0,5110.0,400548700.0,-38.0,-2901800.0,1970.0,152970200.0,0.0,0.0,74.0,5837500.0,189.0,14714600.0,-258.0,-20273500.0,0.0,0.0,1
고무제품 제조업,956912,12082487237,854963830,18850.0,847946093.0,14577.0,508973917.0,-43502.0,-1402916150.0,24864.0,660696690.0,-2604.0,-55956210.0,3524.0,34040125.0,-3233.0,-46390035.0,-65319.0,-1845902870.0,-734.0,-149407250.0,9680.0,43265060.0,395.0,2731080.0,8
"곡물가공품, 전분 및 전분제품 제조업",947415,2771998658,18802597,186299.0,637294540.0,-163044.0,-418695560.0,-21132.0,-314566569.0,-559.0,-2030988.0,-4.0,-602500.0,830.0,2206736.0,-5892.0,-26869867.0,0.0,0.0,2493.0,7570050.0,-5502.0,85911346.0,3379.0,10056243.0,7
"골판지, 종이 상자 및 종이용기 제조업",1850724,9774822381,52794330,47446.0,393980239.0,-58466.0,-466674086.0,34763.0,126469026.0,33758.0,120313202.0,0.0,0.0,790.0,3824824.0,0.0,0.0,0.0,0.0,225.0,2414900.0,-15957.0,-62751673.0,-7786.0,8976494.0,9
"과실, 채소 가공 및 저장 처리업",287511,881636439,30330911,63440.0,125826167.0,-62938.0,-123667828.0,-324.0,-1997540.0,-358.0,-2209180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,211640.0,-309.0,-496869.0,131.0,336070.0,3
광고업,2072826,26071319289,2641380348,339007.0,7454836143.0,-51079.0,-393361924.0,-307722.0,-6997293561.0,36271.0,532315559.0,767.0,24420680.0,-25882.0,-585420570.0,0.0,0.0,-267867.0,-6045435175.0,-39261.0,-787104365.0,-8368.0,-103684516.0,28162.0,39503858.0,19
교육지원 서비스업,29364,89858630,0,-641.0,-1918885.0,438.0,1322105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-38580.0,209.0,635360.0,1
"구조용 금속제품, 탱크 및 증기발생기 제조업",8789132,55189687609,1305386447,501447.0,1834593257.0,-233503.0,95648538.0,-111302.0,-1512657476.0,-64022.0,-332377681.0,1264.0,52440600.0,-25315.0,-788361595.0,-543.0,-10646740.0,-15217.0,-322706500.0,-7468.0,-110962710.0,-146769.0,-430735508.0,-9873.0,13151189.0,21
귀금속 및 장신용품 제조업,319526,537854140,12201005,72474.0,107290448.0,-72741.0,-110415369.0,2328.0,6112453.0,1883.0,5470763.0,0.0,0.0,445.0,641690.0,0.0,0.0,0.0,0.0,0.0,0.0,-2061.0,-2987532.0,0.0,0.0,2
그외 기타 개인 서비스업,57817,5073939600,730837200,13539.0,1187273750.0,-17069.0,-1499204400.0,3287.0,290481050.0,4305.0,379855400.0,526.0,46211850.0,-257.0,-23435300.0,0.0,0.0,-1604.0,-139895100.0,318.0,27831700.0,237.0,20921000.0,6.0,528600.0,1
그외 기타 운송장비 제조업,706779,92408437105,1884838772,-101732.0,-26056939204.0,99778.0,25637981432.0,2830.0,900695962.0,-4076.0,-678226358.0,1214.0,219319800.0,-9890.0,-1804459670.0,1084.0,196134500.0,19023.0,3809729800.0,-4526.0,-841990910.0,-983.0,-500581740.0,107.0,18843550.0,5
"그외 기타 전문, 과학 및 기술 서비스업",2970903,41787918537,1225135181,400453.0,5861019378.0,-81503.0,-1171015930.0,-315570.0,-4563061305.0,-45182.0,-291316980.0,-3636.0,-14570300.0,-59106.0,-831092910.0,0.0,0.0,612.0,167929045.0,-187972.0,-3234319385.0,-14698.0,-271759232.0,11318.0,144817089.0,16
그외 기타 제품 제조업,1403091,4665376260,105954107,-130954.0,-234736063.0,139009.0,282231380.0,-413.0,-30284130.0,-413.0,-30284130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5854.0,-17164412.0,-1788.0,-46775.0,10
금속 주조업,262350,319467183,3851333,26971.0,26348582.0,-30723.0,-30376376.0,101.0,103006.0,101.0,103006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-931.0,-1038860.0,4582.0,4963648.0,3
금융 지원 서비스업,14970424,274241094792,14071999497,-246916.0,-2285361978.0,-766857.0,-1837719131.0,1038437.0,4298576626.0,623358.0,10553532427.0,19481.0,795670493.0,-187954.0,-3352909944.0,5973.0,181270275.0,12484.0,-9751759494.0,562965.0,5713896929.0,-17590.0,40266112.0,-7074.0,-215761629.0,85
기계장비 및 관련 물품 도매업,4788631,34451015269,3501151900,518349.0,2314305189.0,-578649.0,-5897576607.0,16994.0,2958832236.0,42625.0,1407353670.0,-27725.0,-116806809.0,8416.0,1811475375.0,0.0,0.0,622.0,73512700.0,-1944.0,-197763100.0,94745.0,674634070.0,-51439.0,-50194888.0,24
기록매체 복제업,226261,409072204,0,12419.0,22286668.0,-17424.0,-31265701.0,495.0,899253.0,495.0,899253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5137.0,9210915.0,-627.0,-1131135.0,1
기반조성 및 시설물 축조관련 전문공사업,790142,3526920350,6475340,-29037.0,-352112587.0,9783.0,49030647.0,19836.0,344219845.0,19570.0,341524670.0,0.0,0.0,55.0,942150.0,0.0,0.0,0.0,0.0,211.0,1753025.0,-517.0,-41693525.0,-65.0,555620.0,3
기초 의약물질 제조업,39356947,799884911442,26613494691,1180725.0,-125701502790.0,-373029.0,29718669358.0,261133.0,75986598500.0,-2716.0,27563005393.0,8413.0,1661700335.0,116868.0,20072961500.0,44.0,10919200.0,36511.0,7792130275.0,113248.0,19950641897.0,-1025725.0,20015891906.0,-43104.0,-19656974.0,45
기초 화학물질 제조업,34294154,1010323505866,18293394269,-948491.0,-25843430593.0,1128771.0,28274493810.0,101213.0,-458562668.0,122719.0,5780978054.0,15065.0,230875690.0,41525.0,-380335392.0,-1957.0,-114628975.0,236.0,-3420342365.0,-76133.0,-2495947180.0,-333739.0,-3254557976.0,52246.0,1282057427.0,50
기타 과학기술 서비스업,5016859,16910764450,214877767,-269542.0,-422664521.0,-54618.0,-506785079.0,190.0,727615.0,190.0,727615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316539.0,897330643.0,7431.0,31391342.0,5
기타 교육기관,31953,346350345,33350,8305.0,51830785.0,178.0,-9126065.0,-7563.0,-40063540.0,4.0,134050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7567.0,-40197590.0,-980.0,-4639180.0,60.0,1998000.0,2
기타 금속 가공제품 제조업,1915942,15491189345,185802980,52492.0,617694065.0,-50136.0,-302917626.0,-7716.0,-293532370.0,-548.0,-7502185.0,-9907.0,-239558395.0,5879.0,77636040.0,0.0,0.0,0.0,0.0,9106.0,51656690.0,3743.0,-28948172.0,1617.0,7704103.0,24
기타 금융업,45010521,1673992935237,54319122826,2441221.0,-26317237449.0,-2776617.0,10906654222.0,69633.0,10588930747.0,788445.0,40140871678.0,7657.0,975993685.0,-23637.0,-6259038350.0,-84448.0,-834785120.0,-269100.0,-27500957665.0,-440179.0,3262987839.0,246990.0,4849666124.0,18773.0,-28013644.0,102
기타 비금속 광물제품 제조업,4143841,22098553107,1095891053,212408.0,782158846.0,-187655.0,-2001722642.0,9506.0,1440184940.0,2263.0,439490062.0,4245.0,620903700.0,-5100.0,-775368644.0,0.0,0.0,7722.0,1131482100.0,186.0,-4030078.0,-36084.0,-232754850.0,1825.0,12133706.0,9
기타 사업지원 서비스업,800183,7035959810,1154891,-121088.0,-1680150227.0,-29454.0,98753427.0,492022.0,5411533550.0,-6080.0,-30565775.0,0.0,0.0,-1898.0,-7900875.0,0.0,0.0,0.0,0.0,0.0,0.0,-342383.0,-3833089500.0,903.0,2952750.0,7
기타 상품 전문 소매업,611464,10422977726,665970470,8693.0,134257979.0,325.0,171264621.0,37803.0,693595810.0,28159.0,485722585.0,494.0,22174175.0,-1304.0,9944490.0,0.0,0.0,1076.0,48240500.0,9378.0,127514010.0,-47006.0,-1001465880.0,185.0,2347470.0,3
기타 생활용품 소매업,212067,455314522,7100247,48996.0,100188181.0,-11753.0,-24596571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37243.0,-75591610.0,0.0,0.0,2
기타 섬유제품 제조업,255010,955816369,2445720,-30758.0,-107016070.0,29731.0,103930760.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,3085295.0,0.0,0.0,3
기타 식품 제조업,5258025,114320517737,8457463386,202280.0,26370769576.0,-178997.0,-15929338406.0,-4844.0,-10354153281.0,-3803.0,-1051374983.0,11392.0,455201060.0,-17245.0,-3210608270.0,-235.0,-239318250.0,-1775.0,-2567138075.0,6829.0,-3732334563.0,-18820.0,-136311008.0,381.0,49033119.0,34
기타 운송관련 서비스업,1212658,22357856677,1152172860,132157.0,9174502663.0,-198861.0,-7225667692.0,68109.0,-2017513796.0,2651.0,449316749.0,916.0,164169850.0,-56.0,-11152000.0,-200.0,-12704800.0,-15402.0,-2750026300.0,80201.0,142943905.0,1019.0,151899125.0,-2424.0,-83220300.0,6
기타 전기장비 제조업,2454149,22071942581,400106712,89322.0,-492173525.0,-111817.0,-217233380.0,50920.0,1050941550.0,36724.0,888057590.0,175.0,4441400.0,-645.0,-16339050.0,0.0,0.0,9266.0,76718630.0,5399.0,98049970.0,-28965.0,-336947060.0,540.0,-4587585.0,11
기타 전문 도매업,18107950,99265350432,2271133793,16442.0,-667049191.0,-48367.0,2143453451.0,-145875.0,-2136027875.0,68282.0,3212887655.0,3775.0,639114450.0,-102741.0,-1662080445.0,-31120.0,-197928360.0,-132928.0,-5115917935.0,48214.0,832942260.0,178596.0,663452950.0,-796.0,-3829335.0,35
기타 전문 서비스업,38533,439433150,11713280,20124.0,226883600.0,-16066.0,-177483890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4058.0,-49399710.0,0.0,0.0,2
기타 정보 서비스업,4721406,14681581662,335520714,10371.0,-212988145.0,-128024.0,-571540002.0,-785.0,324421187.0,-25958.0,-74921003.0,93.0,1486240.0,13837.0,207255020.0,0.0,0.0,10657.0,185317080.0,586.0,5283850.0,56243.0,371291136.0,62195.0,88815824.0,19
기타 종이 및 판지 제품 제조업,730715,482593491,468350,19168.0,-23151071.0,-36286.0,-56980200.0,63.0,61235.0,63.0,61235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9257.0,77248170.0,7798.0,2821866.0,3
