티커,공매도잔고,상장주식수,공매도금액,시가총액,비중,시장
011810,43226,31017927,152587780,109493282310.0,0.14,KOSPI
465770,48635,7171032,133259900,19648627680.0,0.68,KOSPI
077970,0,40148063,0,1242582549850.0,0.0,KOSPI
002820,0,12607989,0,24875562297.0,0.0,KOSPI
002170,4697,3000000,233206050,148950000000.0,0.16,KOSPI
084870,0,20458256,0,37479524992.0,0.0,KOSPI
002710,347945,26213697,4171860550,314302227030.0,1.33,KOSPI
069260,135555,40878588,2087547000,629530255200.0,0.33,KOSPI
007980,108000,46897350,187272000,81320004900.0,0.23,KOSPI
002900,58995,41400000,361639350,253782000000.0,0.14,KOSPI
024070,0,15326438,0,27878790722.0,0.0,KOSPI
037270,436238,63663110,1585725130,231415404850.0,0.69,KOSPI
139130,240683,160624583,4159002240,2775592794240.0,0.15,KOSPI
000500,102526,16543115,33013372000,5326883030000.0,0.62,KOSPI
000860,0,13000000,0,168090000000.0,0.0,KOSPI
035250,1344471,213940500,19790613120,3149204160000.0,0.63,KOSPI
011420,370854,27549644,504732294,37495065484.0,1.35,KOSPI
002100,47531,19522575,427779000,175703175000.0,0.24,KOSPI
009450,84233,14568592,5845770200,1011060284800.0,0.58,KOSPI
267290,21696,5895406,433269120,117731257820.0,0.37,KOSPI
012320,15394,2365023,744299900,114348862050.0,0.65,KOSPI
000050,0,27415270,0,222337839700.0,0.0,KOSPI
214390,103253,23906860,543110780,125750083600.0,0.43,KOSPI
012610,230458,41616365,927593450,167505869125.0,0.55,KOSPI
009140,0,1570797,0,42332979150.0,0.0,KOSPI
013580,50539,8930907,1006736880,177903667440.0,0.57,KOSPI
012200,238782,27222829,1494775320,170414909540.0,0.88,KOSPI
012205,0,1169079,0,12251947920.0,0.0,KOSPI
002140,68867,24939425,132775576,48083211400.0,0.28,KOSPI
010130,85588,20872969,103732656000,25298038428000.0,0.41,KOSPI
002240,68733,27000000,1277746470,501930000000.0,0.25,KOSPI
009290,345030,49799808,2152987200,310750801920.0,0.69,KOSPI
017040,481043,43337615,448332076,40390657180.0,1.11,KOSPI
017900,204277,57943763,1877305630,532503181970.0,0.35,KOSPI
037710,0,7627172,0,260086565200.0,0.0,KOSPI
030610,150420,113962961,1659132600,1257011459830.0,0.13,KOSPI
