sector_id,sector_name,ticker,toss_code,name_ko,market_cap_usd,change_pct,close,analyst,signal
169,반도체,MCHP,US19930326002,마이크로칩 테크놀로지,42310768506,1.45,74.17,BUY,
169,반도체,CLS,US19980630001,셀레스티카,39515792985,0.81,312.35,BUY,
169,반도체,CRDO,US20220126002,크레도 테크놀로지 그룹 홀딩,32160680555,3.9,170.57,BUY,
169,반도체,ON,US20150407001,온 세미컨덕터,29048885327,0.99,74.38,HOLD,
169,반도체,Q,NYS0251103004,큐니티 일렉트로닉스,25283322492,1.69,120.47,BUY,
169,반도체,TSEM,US19941025001,타워 세미컨덕터,25210486326,7.84,222.33,BUY,
169,반도체,GFS,US20211027013,글로벌파운드리스,24885475616,1.53,45.21,BUY,
169,반도체,ENTG,US20000711002,인테그리스,21266737148,6.15,138.74,BUY,
169,반도체,MTSI,US20120315001,메이컴 테크놀로지 솔루션즈 홀딩스,20605134439,3.46,268.95,BUY,
169,반도체,SITM,US20191120002,싸이타임,18464582561,6.55,612.09,BUY,
169,반도체,DD,US20190603005,듀폰,17826689607,0.35,131.59,BUY,
169,반도체,LSCC,US19891101001,래티스 세미컨덕터,16513539654,2.0,115.9,BUY,
169,반도체,SMTC,US19920317010,셈텍,13845251729,9.22,147.88,BUY,AI 광통신 강세
169,반도체,ONTO,US20191028002,온투 이노베이션,13194120986,6.16,268.01,BUY,반도체 장비주 강세
169,반도체,AMKR,US19980501001,앰코 테크놀로지,11906233139,1.77,47.77,HOLD,
169,반도체,NVMI,US20000411003,노바,11872624759,5.5,372.1,BUY,
169,반도체,SWKS,US19840907014,스카이웍스 솔루션즈,11173335775,3.52,74.02,HOLD,
169,반도체,SOLS,NAS0251030004,솔스티스 어드밴스드 머터리얼즈,10158153258,3.85,63.73,BUY,
169,반도체,RMBS,US19970514001,램버스,9298539197,1.33,85.46,BUY,
169,반도체,QRVO,US20150105001,코보,9101500123,2.45,102.84,HOLD,
169,반도체,SIMO,US20050630001,실리콘 모션 테크놀로지(ADR),8734582944,8.7,256.21,BUY,
169,반도체,FORM,US20030612001,폼팩터,8142497457,7.38,103.9,BUY,
169,반도체,SLAB,US20000324001,실리콘 래버러토리스,7383393278,-0.06,220.58,HOLD,
169,반도체,ALGM,US20201029003,알레그로 마이크로시스템즈,6845831773,2.95,36.61,BUY,
169,반도체,CAMT,US20000728002,캠텍,6820360546,4.91,145.72,BUY,
169,반도체,MXL,US20211213009,맥스리니어,5708145252,5.53,62.74,BUY,
169,반도체,CRUS,US19890608001,시러스 로직,5691811869,0.07,113.21,BUY,
169,반도체,PI,US20160721001,임핀지,5289505373,-1.45,172.57,BUY,
169,반도체,ACMR,US20171107001,ACM 리서치,5201136969,7.23,74.44,BUY,
169,반도체,VSH,US19840124001,비샤이 인터테크놀로지,4892933505,4.43,31.8,BUY,
