Sector,거래량,거래대금,공매도거래대금,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금,종목수
기타 비금속 광물제품 제조업,2711556.0,30395643628.0,3121098426.0,-696330.0,-1370267697.0,666675.0,3443939206.0,35965.0,-2033049415.0,54450.0,2717173085.0,69.0,23179690.0,-9801.0,-2261379510.0,0.0,0.0,-13274.0,-3075314250.0,4466.0,550349070.0,518.0,354330.0,-6828.0,-40976424.0,9
기타 사업지원 서비스업,185396.0,770809716.0,18035595.0,-29114.0,-147629671.0,49811.0,253500802.0,-20738.0,-101051236.0,6189.0,22527164.0,-89.0,-1064850.0,-26796.0,-101685220.0,0.0,0.0,0.0,0.0,-42.0,-20829730.0,41.0,-4819895.0,0.0,0.0,8
기타 상품 전문 소매업,360200.0,9958306370.0,586840930.0,-77973.0,-2181720675.0,37461.0,1361529035.0,42700.0,844754220.0,29719.0,198056290.0,654.0,33161000.0,-4979.0,-253787180.0,0.0,0.0,21402.0,1085333400.0,-4096.0,-218009290.0,-3.0,-153100.0,-2185.0,-24409480.0,3
기타 생활용품 소매업,286369.0,275450244.0,12583885.0,-17501.0,-15254393.0,-19880.0,-18854759.0,151.0,390714.0,151.0,390714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37230.0,33718438.0,0.0,0.0,2
기타 섬유제품 제조업,132087.0,423192788.0,127764.0,-70073.0,-216966351.0,60276.0,155708672.0,9744.0,61195758.0,10247.0,64348158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-503.0,-3152400.0,-30.0,-77250.0,83.0,139171.0,3
기타 식품 제조업,4582691.0,89431017764.0,7640240016.0,33769.0,68717928.0,-46346.0,579727518.0,1561.0,-1508717813.0,-7438.0,-930483218.0,1413.0,380291130.0,18951.0,-2935595205.0,4.0,1357500.0,-17623.0,-913303860.0,6252.0,2868091600.0,5483.0,821081261.0,5533.0,39191106.0,34
기타 운송관련 서비스업,561647.0,42567399884.0,4838028178.0,-130122.0,-5767574708.0,179179.0,14816447855.0,-48195.0,-8946407402.0,-324.0,107095418.0,-1915.0,-368372950.0,-39582.0,-7622060250.0,0.0,0.0,-7828.0,-1360039550.0,1454.0,296968830.0,-542.0,-62499458.0,-320.0,-39966287.0,6
기타 전기장비 제조업,2368532.0,58291253680.0,2858796045.0,-454720.0,-5130068059.0,320062.0,-648328815.0,102436.0,4254557835.0,70566.0,3195445720.0,83.0,3945800.0,6624.0,-189512050.0,0.0,0.0,27683.0,1337113525.0,-2518.0,-92343760.0,32790.0,1566872625.0,-568.0,-43033586.0,12
기타 전문 도매업,15278343.0,300746356091.0,15416640890.0,13133.0,-14682797478.0,-89890.0,17690578251.0,70898.0,-2535339189.0,57971.0,4045515606.0,18298.0,-1228772545.0,6330.0,818586880.0,461.0,178806750.0,1630.0,-6591705310.0,-13792.0,242229430.0,10753.0,-330199486.0,-4894.0,-142242098.0,36
기타 전문 서비스업,18733.0,200299510.0,3864360.0,-6388.0,-68122260.0,6761.0,73367260.0,-23.0,-159500.0,0.0,0.0,-11.0,-76390.0,0.0,0.0,0.0,0.0,-5.0,-34620.0,-7.0,-48490.0,-350.0,-5085500.0,0.0,0.0,2
