티커,종가,시가총액,거래량,거래대금,상장주식수
005850,51400,2387453928000,40016,2047249450,46448520
483650,190600,2387439399000,153715,29055040750,12525915
181710,71500,2341849438500,176602,12130813250,32753139
000240,24550,2330660142000,43665,1069329525,94935240
067310,34850,2317206784650,644685,22578324975,66490869
204320,48500,2277420320000,335652,16217961025,46957120
279570,5600,2271892845600,332459,1862724795,405695151
347850,49200,2255210362800,428451,21005236700,45837609
009970,170900,2213807325300,6888,1173161100,12953817
018670,238500,2210714694000,16024,3852758250,9269244
081660,41400,2198002176000,80834,3316911950,53091840
103140,78400,2197103395200,95308,7571877700,28024278
005440,11910,2184260640090,142615,1701244340,183397199
030000,18930,2177730389250,194114,3669094900,115041225
263750,34500,2168114895000,1059533,36198582900,62843910
178320,33650,2141847300050,520221,17525403550,63650737
007070,25400,2123628341000,246492,6148245600,83607415
237690,101200,2112715765600,45260,4541884400,20876638
058610,94200,2089107312000,1109499,103978911850,22177360
014680,193100,2084328351600,39509,7622087350,10794036
069960,96200,2074544534400,126294,12095633900,21564912
214150,31800,2074493956200,148648,4699719375,65235659
073240,7180,2062528860660,1133406,8069371775,287260287
051600,45800,2061000000000,60054,2735357725,45000000
005290,40250,2051547571500,190544,7632410850,50970126
139480,73500,2028292696500,88259,6502206800,27595819
010170,13010,2022868436600,3777762,48725133165,155485660
226950,95900,2019927315000,122256,11643776950,21062850
002790,26400,2018495952000,80605,2114171675,76458180
140410,65000,1990408810000,63427,4066216000,30621674
112610,46950,1979947370850,185168,8762323825,42171403
020150,36850,1929667311550,163309,6005651450,52365463
457190,63300,1912854597600,102014,6482645600,30218872
098460,27900,1902897542700,685208,19207834450,68204213
462870,31850,1870929196500,20591,656981300,58741890
083650,60000,1856662500000,199320,11863717950,30944375
089860,50900,1848147849200,89491,4475034650,36309388
140860,262500,1838148112500,17199,4479137000,7002469
032820,10630,1836700425560,1607613,16871118985,172784612
068760,40850,1813835262200,47726,1957583625,44402332
041510,79000,1808680510000,109767,8569614000,22894690
439260,46950,1788265873500,32233,1498652925,38088730
475150,52000,1771484208000,1035050,54017851750,34067004
089030,47100,1745226679500,357208,16779664175,37053645
030530,22500,1737854572500,7144949,145138338300,77237981
071970,50200,1702859049000,65818,3290295200,33921495
006040,38100,1681765203900,29379,1116299600,44140819
000120,73400,1674426049600,26371,1939904350,22812344
120110,55800,1670988585600,179954,10224587200,29946032
096530,31900,1666009208600,131985,4198222375,52225994
020560,8080,1664404944880,372552,2998372955,205990711
023590,38300,1657904049600,17588,676803250,43287312
008770,42200,1656270706200,125868,5338517400,39248121
395400,5380,1619474795600,119257,641028245,301017620
060370,30900,1614180588600,46627,1421714525,52238854
000155,401500,1604579493000,3424,1369957000,3996462
011210,57600,1566436780800,46391,2667430000,27195083
001120,40300,1562028000000,70842,2855029775,38760000
322000,138900,1555680000000,233245,32071420100,11200000
007390,23950,1543219591200,165655,4030684475,64435056
001800,25550,1537002458600,36990,944515200,60156652
294870,23300,1535640789000,109364,2546710825,65907330
001430,42350,1518760739650,131453,5612061025,35862119
0009K0,23450,1516538725450,74543,1731296575,64671161
298020,347000,1501705654000,10159,3528273500,4327682
006280,127600,1491202248800,9199,1175031850,11686538
009155,501000,1456398984000,18443,9313108750,2906984
097230,16110,1454657991840,124067,1993771485,90295344
950160,17100,1452989736000,704670,11937780245,84970160
241710,134500,1436460000000,87987,11791225700,10680000
131970,74300,1436013783400,175351,13139190000,19327238
039200,36600,1400249241600,152390,5545006525,38258176
229640,45600,1396494482400,44494,2014069725,30624879
035900,39300,1396426935600,166859,6531825325,35532492
089970,52800,1390053192000,586790,30948631150,26326765
00680K,10900,1387255535000,176196,1917530910,127271150
323280,44850,1369628403000,220104,9771093900,30537980
012630,22650,1353149980650,45149,1019309100,59741721
281820,68100,1348288814100,220443,14628522950,19798661
069620,116100,1345201357500,25059,2927628550,11586575
082920,29800,1345156414600,760097,22152848375,45139477
093370,12500,1340691625000,1083327,13565774800,107255330
280360,145500,1339265517000,19450,2825575650,9204574
007310,334000,1338615220000,2885,961761000,4007830
361610,16280,1331493988000,612818,9951116800,81787100
078600,84600,1328570074800,73515,6222772000,15704138
415640,10600,1298982808800,134106,1412326075,122545548
005070,39000,1295368269000,45849,1780581575,33214571
000815,430500,1294522110000,17321,7518256000,3007020
290650,47900,1291848821600,125833,6025911175,26969704
183300,25100,1289218202500,334999,8362646300,51363275
066575,74800,1285161165200,49461,3702573100,17181299
001740,6400,1283800889600,589894,3747450065,200593889
218410,48300,1283593848600,270170,12868671675,26575442
420770,101200,1282786709600,62256,6310722600,12675758
003540,26500,1263152339000,37778,1002958700,47666126
003380,11020,1234301943420,375067,4150713845,112005621
127120,33600,1230955051200,468934,15529981575,36635567
300720,16670,1225998634030,62465,1037498960,73545209
007810,51000,1223113620000,305348,15552463750,23982620
475830,55900,1214125081000,83639,4619714250,21719590
192080,57200,1211122369600,34605,1985365950,21173468
195940,42050,1191271916550,78457,3308147650,28329891
004000,45700,1179060000000,61652,2818961200,25800000
017960,22550,1165304759300,134978,3046182375,51676486
046070,82300,1160395104800,0,0,14099576
030610,10100,1151025906100,54289,544995255,113962961
043260,15670,1150703759840,896563,14123454215,73433552
001820,109800,1141371000000,520277,57315213250,10395000
330590,3925,1134202869700,109406,425498645,288968884
000210,53600,1123235382400,57884,3128266800,20955884
204270,19130,1106641154580,567341,10658408840,57848466
003530,5100,1094193652500,7332184,37863494441,214547775
000080,15540,1089876314940,63410,984573730,70133611
496320,1023000,1039340379000,0,0,1015973
006110,68700,1038981358500,116878,8192335950,15123455
437730,32550,1032081305850,289982,9305200950,31707567
006340,12930,1013898398880,1377051,17662030865,78414416
347700,19520,1006282586240,852783,16900458980,51551362
003240,901000,1003173400000,2029,1845143500,1113400
032350,12530,998959988740,118947,1504903430,79725458
192400,27850,990406852250,4243,117665225,35562185
051915,128800,990317440000,10475,1340595700,7688800
166090,49900,986905932600,173022,8540746125,19777674
000370,8420,982941664300,1310340,11163718115,116738915
003090,16860,980273782800,52719,893235655,58141980
086450,21600,976977072000,747610,16371932000,45230420
293490,9030,963909742950,243246,2208203935,106745265
232140,11730,962391955500,1590908,18622670855,82045350
285130,55200,954891883200,110283,6134602900,17298766
451800,5310,953676000000,53966,283126450,179600000
030190,16250,946867041250,148268,2414062190,58268741
077970,23550,945486883650,73803,1737249650,40148063
185750,68000,938589040000,16783,1140096950,13802780
003570,28200,937726055400,15415,438625100,33252697
034230,10090,934630464380,378011,3807387285,92629382
036540,5610,922622299830,1194742,6691848905,164460303
006120,52900,921187427900,16710,890020950,17413751
003470,4745,914267083990,286602,1362173855,192680102
005300,98300,912114297200,8938,876909050,9278884
079160,5400,894147103800,332755,1781391840,165582797
004490,64400,892584000000,106947,7046202050,13860000
009450,61000,888684112000,43634,2662827200,14568592
003160,31250,884375000000,756546,23634145250,28300000
036830,43100,883721581100,47776,2085659150,20503981
356860,37150,880501809000,835980,30735231150,23701260
009240,37400,880168907200,24270,909598450,23533928
071320,75600,875353046400,11947,904887100,11578744
491000,34500,871306849500,191078,6643357375,25255271
100090,13860,865946867940,2486936,33952167900,62478129
115180,23050,865162180550,658970,14055225720,37534151
071055,146400,857647946400,8588,1274632050,5858251
101490,40050,854461903950,143540,5747479250,21334879
056190,23700,851037612000,61333,1466849300,35908760
033790,10200,849883247400,5920208,58692924265,83321887
065350,30900,849253993200,116625,3578341975,27483948
499790,42800,848759994800,46330,1989206750,19830841
195870,49900,848300000000,79711,3956450700,17000000
005180,90300,836993499300,58732,5365471800,9269031
124500,35650,827241387550,716786,25440886875,23204527
041830,61100,823681890200,48139,2938140500,13480882
252990,13660,822576363740,510106,6910046930,60217889
445680,47650,820127355550,78077,3720587700,17211487
014620,30850,819294679400,103199,3141524900,26557364
458870,21350,818673478700,210526,4524769425,38345362
005090,56100,808363581300,193622,10910160250,14409333
213420,32250,800805522750,149818,4791744825,24831179
031330,7970,796960683990,275085,2176887665,99995067
100790,14980,795746258440,543821,7954161650,53120578
083450,43000,792490000000,111774,4758025750,18430000
476830,28200,791163295200,228914,6372116750,28055436
122870,41950,784089505550,90470,3781065425,18691049
038500,7210,778076566260,246659,1770629455,107916306
003850,9040,775516351280,78942,713778285,85787207
099320,70700,774255354600,42762,3029446800,10951278
298050,172800,774135014400,7867,1367478500,4479948
950260,15580,770346977060,2866927,44531165580,49444607
032190,20000,766000000000,65156,1315402995,38300000
388720,65000,765787425000,29943,1972341050,11781345
225570,11600,763978018400,106248,1213783210,65860174
365550,3085,759184565000,210044,647068839,246089000
085660,8090,752150324140,148352,1198343950,92972846
214320,18770,750800000000,42078,789917985,40000000
090710,6270,749635111830,1506306,9488431835,119559029
476060,16440,746504889600,475310,7841803440,45407840
090360,76400,744900000000,393971,30599032500,9750000
137310,6160,743814468320,90435,560658920,120749102
417200,10960,741473142640,251805,2737276065,67652659
119850,44900,738556014100,415177,18179724950,16448909
090460,21850,736597105300,2926725,62601895115,33711538
036530,45150,736120452900,8521,385206900,16303886
281740,11060,726979860880,276088,3057729780,65730548
035760,33050,724758539700,72353,2398008650,21929154
000670,39300,723539841900,20521,813999950,18410683
388210,74800,722151962400,72325,5388054950,9654438
006730,11210,720544306830,270305,3067145250,64276923
041960,9710,717437866450,418173,4071517470,73886495
033100,44350,712367839150,53756,2391655175,16062409
456040,79300,709932853500,25058,1991498950,8952495
137400,29450,697691939600,62147,1840388700,23690728
064960,26250,696682140000,41973,1114046625,26540272
251970,55300,685720000000,159181,8744596950,12400000
171090,67200,680576467200,57747,3803184000,10127626
005880,2105,679383150700,1808503,3808203653,322747340
189300,63100,677536060700,48569,3068775100,10737497
074600,25750,676916000000,115420,2959132425,26288000
023160,26150,676428378300,127360,3302323025,25867242
100840,32700,676261604100,212998,6883190625,20680783
017940,97700,670222000000,7823,763464500,6860000
328130,9000,670123620000,246940,2198554955,74458180
094800,7190,667478839890,52673,376884010,92834331
069260,16320,667138556160,51221,834772700,40878588
093320,136600,666608000000,9696,1313205900,4880000
001680,19210,665588560250,176340,3402093510,34648025
033240,30600,661128361200,210325,6417741700,21605502
093050,22500,657900000000,12158,270949300,29240000
268280,130700,653500000000,1465,192697800,5000000
317450,44650,651890000000,6967,312400125,14600000
253450,21650,650766481700,45835,990125800,30058498
425420,52700,650696438700,156934,8270305300,12347181
002960,499500,649350000000,597,298502000,1300000
044490,32400,648239144400,406964,13208924550,20007381
293940,5350,647029658050,66128,353863340,120940123
053800,57700,641999396200,9653,557513400,11126506
001060,27500,640363075000,37639,1030712925,23285930
000400,2050,636189456000,740845,1528005564,310336320
060250,15770,633332835470,1162246,18421879555,40160611
001570,9900,633275240400,0,0,63967196
456160,37950,631086716700,74023,2756984050,16629426
005690,10500,630042147000,364303,3831130995,60004014
014820,21700,629110819400,30852,673830200,28991282
006650,96700,628550000000,32437,3124944550,6500000
466100,24650,627570241350,506243,12352852050,25459239
383800,8190,624738851100,53264,434595620,76280690
000640,92600,623432000200,12692,1181055650,6732527
006380,3660,618539985360,0,0,168999996
032500,14650,618108419650,106603,1563920490,42191701
248070,12910,617307606760,50983,650204910,47816236
094170,29350,613706621600,74978,2182448825,20909936
327260,34050,612519967950,288392,9812232350,17988839
453340,18790,610141119730,29887,557335720,32471587
079900,41500,605590617500,149826,6169994025,14592545
161580,25800,604809972600,69718,1778396000,23442247
00088K,41200,604676455600,38618,1587119025,14676613
059090,18060,603507010680,89074,1593082190,33416778
002990,16090,599512981660,3227659,52537527250,37259974
102710,41950,599374720200,41513,1737703700,14287836
048410,6210,599299602120,874205,5236381960,96505572
295310,48450,595897402800,197199,9349943875,12299224
002350,6080,593820692160,74104,449319335,97667877
114090,9580,592577318600,70715,672439000,61855670
160190,19180,592431840000,643475,12402450615,30888000
108320,36200,588767660000,75006,2701792275,16264300
122640,27150,587833473750,374150,10313155150,21651325
222080,7550,587240087200,268050,2039218750,77780144
002840,130000,585000000000,2744,355425100,4500000
075580,10280,584412407680,46514,476092265,56849456
003300,18700,576548002800,4646,86849000,30831444
121600,47000,576322977000,23853,1126440300,12262191
001530,27600,571751139600,26565,722431500,20715621
079940,42400,569037001600,40583,1720755700,13420684
0220W0,6710,567099239850,5180928,33954623705,84515535
058650,133600,566762729600,364,48852400,4242236
025540,55800,564417000000,21907,1214902200,10115000
001510,2430,562047056550,2050304,4994745142,231295085
016380,5590,559049734230,145628,816569445,100008897
178920,19030,558841107660,19903,377379330,29366322
046890,9580,558565732000,105657,1021629150,58305400
025980,5710,555588652900,6911359,39214109910,97300990
007700,14190,555032867730,10199,144568040,39114367
036810,25550,553152108950,81922,2114071125,21649789
052400,37800,550492399800,31417,1189282400,14563291
052020,8050,547265492550,92151,738569485,67983291
00104K,128800,544374745600,4053,512059700,4226512
001270,52100,540271060600,3896,202661900,10369886
053610,60000,540000000000,19679,1187243050,9000000
005810,37100,534881533200,8424,315559175,14417292
003620,2635,533257893120,425827,1128823276,202374912
019210,14260,530382561280,579951,8149031370,37193728
024850,16660,529014043040,314440,5237825385,31753544
284740,23500,527277255000,15057,354702500,22437330
009520,12650,526780192950,168658,2120468665,41642703
019170,10010,524709405220,326018,3259728640,52418522
211050,10650,524657947050,104703,1132053945,49263657
336370,7450,523081620100,39990,300597085,70212298
041190,6220,522480000000,14797183,95453646595,84000000
045100,29850,522375000000,51097,1509556950,17500000
358570,8090,521934488540,335925,2630807440,64516006
460860,10510,521380258670,192835,2047001215,49608017
064290,40150,520246756700,687362,27003961600,12957578
050890,8520,517645669680,281409,2385508405,60756534
033500,17160,514619717040,78067,1336976670,29989494
112040,15120,513301062960,126410,1904090795,33948483
161000,10540,512757392860,154401,1627382170,48648709
086900,69600,507975391200,27716,1934388700,7298497
039130,32500,503422790000,21443,699819100,15489932
009410,1687,502034461586,271063,459141746,297590078
399720,42100,499257332400,36638,1524154775,11858844
033640,21550,496925803100,187610,4045037625,23059202
003545,20350,496200846900,32535,661378575,24383334
004690,136700,495780415900,9261,1261101600,3626777
253590,11290,495282861560,353228,3994929250,43869164
490470,14490,493028625600,177979,2537210045,34025440
397030,17800,490546319600,208197,3659272770,27558782
001500,7920,489717708480,76843,608666900,61833044
037460,30000,489555660000,73229,2201810350,16318522
377740,4790,488034169920,41640,198601420,101886048
101160,29500,487074293500,31016,915915525,16510993
278280,39700,486445092500,31712,1256400875,12253025
035890,2325,482643346200,188305,431272210,207588536
383310,22950,481374689400,108679,2474508475,20974932
365340,37200,480665478000,22527,834625850,12921115
145990,46600,480606723400,3710,173812950,10313449
090435,45500,480381265000,16472,743798100,10557830
015750,5970,477600000000,172640,1025284280,80000000
448730,5240,477102000000,27952,145519595,91050000
340570,29650,476479058000,44525,1320502350,16070120
249420,15030,475522927560,512606,7666084225,31638252
010780,15740,475143002240,64448,1012972570,30186976
099190,16470,473632879230,39697,651256560,28757309
034950,103900,471759404600,961,99908300,4540514
460930,13260,470871497460,101841,1344690380,35510671
000070,60500,469673055500,3264,198062550,7763191
082270,10560,467482783680,76974,810393405,44269203
005250,9900,465579279000,114675,1129209480,47028210
002240,17220,464940000000,10366,178898905,27000000
034310,12620,463875321340,20445,259001940,36757157
077360,10060,457096240120,789431,7994215605,45437002
484870,16560,454765752000,133086,2223245370,27461700
056080,11890,454619928540,650506,7802064125,38235486
008060,14520,454288662960,112715,1628745080,31287098
348370,20700,453557575800,146702,3070215625,21910994
009900,8630,452817247790,1467289,12974115215,52470133
004710,8460,449393651820,1439063,12405459445,53119817
452260,2300,445877103000,1970702,4477390954,193859610
376900,25400,442195966000,107182,2663858900,17409290
386380,23500,440906459500,86928032,1691342882935,18761977
014830,64800,438540480000,13648,886828700,6767600
336570,4905,437921568630,206594,1013793230,89280646
005945,23200,437806457600,32100,744811350,18870968
067160,38050,437375884350,21242,812461250,11494767
214430,59800,436971457000,17673,1050877250,7307215
072710,94200,436879818000,1781,166978700,4637790
317400,11230,435527699600,799265,9042944005,38782520
018290,12410,433628209580,161099,2009933100,34941838
174900,21600,430965986400,163062,3455428325,19952129
403550,11330,429859542860,7811,87954900,37939942
376300,18060,428715612360,44919,812077335,23738406
003030,103000,426590671000,14739,1513831000,4141657
126340,59400,426516591600,40140,2366688800,7180414
004700,64100,426209745800,118,7626500,6649138
092870,32650,426108522050,468064,14989903475,13050797
002030,206500,425152938000,1063,219602500,2058852
016590,10500,423127110000,4262,44924010,40297820
016610,9950,422341570550,49830,497748025,42446389
005389,181400,422199792800,4304,779654350,2327452
001200,4355,421853250390,377322,1653316899,96866418
030520,17410,420969343040,68225,1195700770,24179744
029460,38000,418780330000,23546,887500300,11020535
092230,98600,416550095600,2927,289014450,4224646
192650,6300,415087022700,413138,2588220260,65886829
003280,1724,414492525876,3034583,5227954854,240424899
477850,23300,413685348800,399887,9317690750,17754736
439960,12650,410500418900,1455181,18758121210,32450626
306200,144700,410412610000,8573,1244391050,2836300
017900,7070,409662404410,460921,3234920480,57943763
080580,19340,407899069700,86984,1680123890,21090955
272290,20450,407722059050,69659,1423135850,19937509
