티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금
122690,서진오토모티브,코스닥,자동차 신품 부품 제조업,"Clutch,Flywheel,Driveplate,Bearing,ATparts",2205.0,61793.0,137156495.0,1.15,2420305.0,1.76,-768.0,-1224100.0,434.0,480000.0,0.0,-6735.0,0.0,-6735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,750835.0
140070,서플러스글로벌,코스닥,기계장비 및 관련 물품 도매업,"반도체 제조용 장비, 유휴기계설비 도소매",2665.0,253380.0,665887778.0,2.9,827525.0,0.12,-3088.0,-3466858.0,-7953.0,-23565311.0,-5859.0,-16406030.0,-5859.0,-16406030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16900.0,43438004.0,0.0,195.0
011370,서한,코스닥,건물 건설업,"건축, 토목",1069.0,226700.0,241765405.0,-0.56,0.0,0.0,38952.0,41591300.0,-25854.0,-27644325.0,877.0,926071.0,877.0,926071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13975.0,-14873046.0
065710,서호전기,코스닥,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","항만크레인,구동전기장치",45400.0,25965.0,1177123700.0,-0.22,1042200.0,0.09,-4820.0,-218756075.0,4775.0,216680425.0,13.0,633750.0,13.0,633400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1441900.0
035890,서희건설,코스닥,건물 건설업,"토목, 건축, 부동산임대업",2785.0,4804793.0,12726618023.0,2.96,696637370.0,5.47,-507724.0,-1376372648.0,-138899.0,-378086347.0,648444.0,1759620525.0,-45219.0,-125879665.0,0.0,0.0,651713.0,1773852100.0,0.0,0.0,0.0,0.0,41950.0,111648090.0,376.0,682240.0,-2197.0,-5843770.0
357550,석경에이티,코스닥,기초 화학물질 제조업,바이오 및 전기전자 나노 소재,58500.0,7226.0,421385900.0,-1.35,25403300.0,3.45,-357.0,-20759200.0,-117.0,-6926200.0,144.0,8376800.0,144.0,8376800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,19014700.0,5.0,293900.0
003100,선광,코스닥,기타 운송관련 서비스업,"항만하역, 해사(바다모래)",28500.0,69741.0,1924487650.0,2.15,6903000.0,0.36,6738.0,190870000.0,-2863.0,-82718950.0,349.0,9339450.0,376.0,10093200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.0,-753750.0,-3349.0,-93221500.0,-875.0,-24269000.0
067370,선바이오,코스닥,의약품 제조업,"PEG유도체 제품 (62%), 기술료수입 (38%)",7920.0,62438.0,454612150.0,6.31,1740300.0,0.38,-20533.0,-150006860.0,-288.0,-4104890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25845.0,191196920.0,-5024.0,-37085170.0
171090,선익시스템,코스닥,특수 목적용 기계 제조업,OLED 증착장비,92500.0,81583.0,7402753250.0,1.98,620889350.0,4.93,20596.0,1884172550.0,-18803.0,-1720987250.0,-2491.0,-225385700.0,-2457.0,-222249400.0,-34.0,-3132100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,17459900.0,503.0,44740500.0
086710,선진뷰티사이언스,코스닥,기타 화학제품 제조업,화장품 원료,10780.0,256339.0,2750567435.0,6.0,1967250.0,0.07,-109739.0,-1176523435.0,29791.0,320290345.0,74084.0,793690840.0,74084.0,793690840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-45680.0,5865.0,62587930.0
014620,성광벤드,코스닥,1차 철강 제조업,관이음쇠,41350.0,386025.0,16410687250.0,-11.93,1851928450.0,7.05,98056.0,4174629050.0,-38530.0,-1669458675.0,-61567.0,-2588692375.0,4598.0,188501825.0,-134.0,-6707750.0,-27515.0,-1152584325.0,0.0,0.0,-33644.0,-1411167800.0,-4871.0,-206700200.0,242.0,10168300.0,1799.0,73353700.0
037350,성도이엔지,코스닥,"건축기술, 엔지니어링 및 관련 기술 서비스업","반도체크린룸 시공, 반도체장비제조",12260.0,310771.0,3804987990.0,-0.97,41208120.0,1.08,-33881.0,-413541300.0,35734.0,436750800.0,-301.0,-4191840.0,-455.0,-6063080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,1871240.0,590.0,7201300.0,-2142.0,-26218960.0
458650,성우,코스닥,일차전지 및 이차전지 제조업,"이차전지 부품(2170 Topcap Ass'y, S4623 등), 자동차 전장부품(Motor Housing, EV Relay 등)",13740.0,78668.0,1082199870.0,-0.87,8772990.0,0.81,-9536.0,-130464270.0,8094.0,110618430.0,101.0,1401620.0,101.0,1401620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3589.0,49391750.0,-2248.0,-30947530.0
081580,성우전자,코스닥,통신 및 방송 장비 제조업,휴대폰금속프레스부품(전자파차단ShieldCan),3005.0,69493.0,212172339.0,-0.99,2420730.0,1.14,14336.0,43937710.0,-6870.0,-21414155.0,-6314.0,-18994140.0,-6314.0,-18994140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1152.0,-3529415.0
045300,성우테크론,코스닥,전자부품 제조업,"리드프레임,반도체검사장비",3285.0,34675.0,113278621.0,0.61,0.0,0.0,-1958.0,-6307748.0,-368.0,-1229002.0,1.0,1790.0,1.0,1790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024.0,6558100.0,301.0,976860.0
015750,성우하이텍,코스닥,자동차 신품 부품 제조업,자동차범퍼,9100.0,1560302.0,14228546335.0,2.02,1072775005.0,4.24,-137859.0,-1270258315.0,191570.0,1759358235.0,-55929.0,-509464835.0,-55861.0,-508846790.0,-39.0,-355255.0,-53.0,-482550.0,0.0,0.0,0.0,0.0,24.0,219760.0,74.0,692930.0,2144.0,19671985.0
365340,성일하이텍,코스닥,기초 화학물질 제조업,"코발트, 니켈, 리튬 등",77000.0,57937.0,4403540100.0,-0.9,444169450.0,6.62,6911.0,526163750.0,2699.0,203546650.0,-10511.0,-798512300.0,-8526.0,-648029450.0,-61.0,-4634300.0,-910.0,-69039400.0,0.0,0.0,-484.0,-36737650.0,-529.0,-39994500.0,507.0,39110200.0,394.0,29691700.0
080470,성창오토텍,코스닥,자동차 신품 부품 제조업,"차량용 에어컨필터, 차량용인버터 등",4170.0,16681.0,69457155.0,2.33,0.0,0.0,-4232.0,-17655065.0,3664.0,15305375.0,544.0,2257220.0,544.0,2257220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-240.0,-1004400.0,264.0,1096870.0
043260,성호전자,코스닥,전자부품 제조업,"전원공급장치,필름콘덴서",43750.0,2527750.0,109648162350.0,4.67,2524361025.0,2.3,-166106.0,-7526154200.0,149867.0,6590921850.0,98934.0,4359578750.0,-13014.0,-550638550.0,9369.0,406600975.0,17904.0,758509525.0,0.0,0.0,107050.0,4680759600.0,-22374.0,-935609300.0,-92387.0,-3862790500.0,9692.0,438444100.0
148150,세경하이테크,코스닥,전자부품 제조업,DECO Film 및 기타 TAPE 제조,4635.0,125053.0,579174135.0,-0.54,21713057.0,3.75,3057.0,13929409.0,-104.0,-204539.0,-209.0,-993500.0,-209.0,-993500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1920.0,-8936110.0,-824.0,-3795260.0
061090,세나테크놀로지,코스닥,통신 및 방송 장비 제조업,"메시통신제품, 스마트 헬멧",51900.0,62402.0,3238663800.0,29.91,85242200.0,0.55,12699.0,659078100.0,-2082.0,-108055800.0,-786.0,-40793400.0,-2.0,-103800.0,0.0,0.0,-252.0,-13078800.0,0.0,0.0,0.0,0.0,-532.0,-27610800.0,1869.0,97001100.0,-11700.0,-607230000.0
188260,세니젠,코스닥,그외 기타 제품 제조업,"Genelix, Genext, Geneka 등",2200.0,72905.0,157738410.0,4.51,0.0,0.0,7411.0,16359300.0,-6360.0,-14111680.0,-921.0,-1978840.0,-921.0,-1978840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-350.0,-754770.0,220.0,485990.0
053060,세동,코스닥,자동차 신품 부품 제조업,"도어벨트, 몰딩",1378.0,902075.0,1296729429.0,-5.81,26948387.0,2.08,253.0,213357.0,-34724.0,-49653997.0,5334.0,7539196.0,334.0,504196.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,7035000.0,0.0,0.0,3039.0,4232167.0,26098.0,37669277.0
340440,세림B&G,코스닥,플라스틱제품 제조업,기업인수,1797.0,1535372.0,2880336642.0,-5.42,32841460.0,1.14,39320.0,88416002.0,-37475.0,-84612144.0,-530.0,-956962.0,-530.0,-956962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1315.0,-2846896.0
017510,세명전기,코스닥,기타 금속 가공제품 제조업,"154kV, 345kV, 765kV 송전,변전,배전용 금구류, 섬유직기용 섹셔날 빔",16570.0,4922549.0,80749439810.0,1.97,319960450.0,0.4,92599.0,1671992530.0,-79953.0,-1478418125.0,-1160.0,-18911780.0,-49.0,-976670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1111.0,-17935110.0,-2084.0,-33368720.0,-9402.0,-141293905.0
490470,세미파이브,코스닥,"건축기술, 엔지니어링 및 관련 기술 서비스업",반도체 설계 서비스,41200.0,1125946.0,46892042250.0,-3.63,243975150.0,0.52,11393.0,485503825.0,110095.0,4530957050.0,-37238.0,-1533918025.0,-4538.0,-186281450.0,0.0,0.0,-21976.0,-906829600.0,0.0,0.0,0.0,0.0,-10724.0,-440806975.0,-81369.0,-3345037300.0,-2881.0,-137505550.0
011560,세보엠이씨,코스닥,건물설비 설치 공사업,"건설관련설비,ACESS FLOOR,소음기,CHAMMBER,PFP UNIT,BY-PASS UNIT,DUCT,철구조물",22100.0,30611.0,666692750.0,-0.67,834100.0,0.13,8320.0,180676350.0,-6454.0,-140392400.0,-2153.0,-46486400.0,-1.0,-13200.0,-39.0,-841450.0,-1.0,-21700.0,0.0,0.0,0.0,0.0,-2112.0,-45610050.0,356.0,7696900.0,-69.0,-1494450.0
396300,세아메카닉스,코스닥,기타 금속 가공제품 제조업,"TV스탠드, 전기 수소차 부품 등",6900.0,1206958.0,8255564290.0,6.65,15471100.0,0.19,-5076.0,-36304450.0,3761.0,27101360.0,1999.0,13793120.0,1999.0,13793120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3968.0,27176390.0,-4652.0,-31766420.0
100700,세운메디칼,코스닥,의료용품 및 기타 의약 관련제품 제조업,"의료용구(체액배출기,도뇨관) 제조,도매,수출입",2675.0,216236.0,573084883.0,0.56,13513265.0,2.36,17336.0,46784315.0,274.0,-157550.0,-7675.0,-20393450.0,-7675.0,-20393450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9935.0,-26233315.0
024830,세원물산,코스닥,자동차 신품 부품 제조업,라디에이터서포터,11000.0,583.0,6343870.0,0.64,0.0,0.0,-8.0,-87120.0,0.0,-320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,87440.0
258830,세종메디칼,코스닥,의료용 기기 제조업,복강경수술용 투관침 등,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
036630,세종텔레콤,코스닥,전기 및 통신 공사업,WLL/GPS/위성DMB/VoIP 단말기,9440.0,4723.0,44782235.0,0.11,0.0,0.0,915.0,8673230.0,-915.0,-8673230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
039310,세중,코스닥,소프트웨어 개발 및 공급업,여행,1505.0,150986.0,228930984.0,-1.31,2863413.0,1.25,4934.0,7892799.0,-2197.0,-3644912.0,-1800.0,-2833677.0,-1800.0,-2833677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-205.0,-311536.0,-732.0,-1102674.0
067770,세진티에스,코스닥,전자부품 제조업,LED/LCD용 광기능성 시트,2260.0,39091.0,88153670.0,-0.44,6795.0,0.01,-6073.0,-13569840.0,5015.0,11211285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058.0,2358555.0
053450,세코닉스,코스닥,사진장비 및 광학기기 제조업,"모바일용 카메라렌즈, 차량용 카메라 및 광학부품",5480.0,170266.0,930048470.0,1.48,8522330.0,0.92,-33419.0,-180423030.0,32859.0,177373350.0,100.0,548760.0,100.0,548760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,2479120.0,4.0,21800.0
